id,character
1489,賈育台
1490,戔
1491,監視塔
1492,監視塔哨兵
1493,監視塔哨兵隊長
1494,鰹
1495,韉
1496,簡肇棟
1497,建國黨
1498,賤B
1499,賤bi
1500,賤逼
1501,賤比
1502,賤貨
1503,賤人
1504,賤種
1505,江八點
1506,江羅
1507,江綿恒
1508,江戲子
1509,江則民
1510,江澤慧
1511,江賊
1512,江賊民
1513,薑春雲
1514,將則民
1515,僵賊
1516,僵賊民
1517,講法
1518,蔣介石
1519,蔣中正
1520,降低命中的圖騰
1521,醬猪媳
1522,撟
1523,狡猾的達夫
1524,矯健的馬努爾
1525,嶠
1526,教養院
1527,癤
1528,揭批書
1529,訐
1530,她媽
1531,届中央政治局委員
1532,金槍不倒
1533,金堯如
1534,金澤辰
1535,巹
1536,錦濤
1537,經文
1538,經血
1539,莖候佳陰
1540,荊棘護衛兵
1541,靖國神社
1542,㈨
1543,舊斗篷哨兵
1544,齟
1545,巨槌騎兵
1546,巨鐵角哈克
1547,鋸齒通道被遺弃的骷髏
1548,鋸齒通道骷髏
1549,屨
1550,棬
1551,絕望之地
1552,譎
1553,軍妓
1554,開苞
1555,開放雜志
1556,凱奧勒尼什
1557,凱爾本
1558,凱爾雷斯
1559,凱特切爾
1560,砍翻一條街
1561,看中國
1562,闞
1563,靠你媽
1564,柯賜海
1565,柯建銘
1566,科萊爾
1567,克萊恩
1568,克萊特
1569,克勞森
1570,客戶服務
1571,緙
1572,空氣精靈
1573,空虛的伊坤
1574,空虛之地
1575,恐怖主義
1576,瞘
1577,嚳
1578,鄺錦文
1579,貺
1580,昆圖
1581,拉姆斯菲爾德
1582,拉皮條
1583,萊特
1584,賴士葆
1585,蘭迪
1586,爛B
1587,爛逼
1588,爛比
1589,爛袋
1590,爛貨
1591,濫B
1592,濫逼
1593,濫比
1594,濫貨
1595,濫交
1596,勞動教養所
1597,勞改
1598,勞教
1599,鰳
1600,雷尼亞
1601,誄
1602,李紅痔
1603,李洪寬
1604,李繼耐
1605,李蘭菊
1606,李老師
1607,李錄
1608,李祿
1609,李慶安
1610,李慶華
1611,李淑嫻
1612,李鐵映
1613,李旺陽
1614,李小鵬
1615,李月月鳥
1616,李志綏
1617,李總理
1618,李總統
1619,裏菲斯
1620,鱧
1621,轢
1622,躒
1623,奩
1624,連方瑀
1625,連惠心
1626,連勝德
1627,連勝文
1628,連戰
1629,聯總
1630,廉政大論壇
1631,煉功
1632,兩岸關係
1633,兩岸三地論壇
1634,兩個中國
1635,兩會
1636,兩會報道
1637,兩會新聞
1638,廖錫龍
1639,林保華
1640,林長盛
1641,林佳龍
1642,林信義
1643,林正勝
1644,林重謨
1645,躪
1646,淩鋒
1647,劉賓深
1648,劉賓雁
1649,劉剛
1650,劉國凱
1651,劉華清
1652,劉俊國
1653,劉凱中
1654,劉千石
1655,劉青
1656,劉山青
1657,劉士賢
1658,劉文勝
1659,劉文雄
1660,劉曉波
1661,劉曉竹
1662,劉永川
1663,㈥
1664,鷚
1665,龍虎豹
1666,龍火之心
1667,盧卡
1668,盧西德
1669,陸委會
1670,輅
1671,呂京花
1672,呂秀蓮
1673,亂交
1674,亂倫
1675,亂輪
1676,鋝
1677,掄功
1678,倫功
1679,輪大
1680,輪功
1681,輪奸
1682,論壇管理員
1683,羅福助
1684,羅幹
1685,羅禮詩
1686,羅文嘉
1687,羅志明
1688,腡
1689,濼
1690,洛克菲爾特
1691,媽B
1692,媽比
1693,媽的
1694,媽批
1695,馬大維
1696,馬克思
1697,馬良駿
1698,馬三家
1699,馬時敏
1700,馬特斯
1701,馬英九
1702,馬永成
1703,瑪麗亞
1704,瑪雅
1705,嗎的
1706,嗎啡
1707,勱
1708,麥克斯
1709,賣逼
1710,賣比
1711,賣國
1712,賣騷
1713,賣淫
1714,瞞報
1715,毛厠洞
1716,毛賊
1717,毛賊東
1718,美國
1719,美國參考
1720,美國佬
1721,美國之音
1722,蒙獨
1723,蒙古達子
1724,蒙古獨
1725,蒙古獨立
1726,禰
1727,羋
1728,綿恒
1729,黽
1730,民國
1731,民進黨
1732,民聯
1733,民意論壇
1734,民陣
1735,民主墻
1736,緡
1737,湣
1738,鰵
1739,摸你鶏巴
1740,莫偉强
1741,木子論壇
1742,內褲
1743,內衣
1744,那嗎B
1745,那嗎逼
1746,那嗎錯比
1747,那嗎老比
1748,那嗎瘟比
1749,那娘錯比
1750,納粹
1751,奶頭
1752,南大自由論壇
1753,南蠻子
1754,鬧事
1755,能樣
1756,尼奧夫
1757,倪育賢
1758,鯢
1759,你媽
1760,你媽逼
1761,你媽比
1762,你媽的
1763,你媽了妹
1764,你說我說論壇
1765,你爺
1766,娘餓比
1767,捏你鶏巴
1768,儂著岡巒
1769,儂著卵拋
1770,奴隸魔族士兵
1771,女幹
1772,女主人羅姬馬莉
1773,儺
1774,諾姆
1775,潘國平
1776,蹣
1777,龐建國
1778,泡沫經濟
1779,轡
1780,噴你
1781,皮條客
1782,羆
1783,諞
1784,潑婦
1785,齊墨
1786,齊諾
1787,騎你
1788,磧
1789,僉
1790,鈐
1791,錢達
1792,錢國梁
1793,錢其琛
1794,膁
1795,槧
1796,錆
1797,繰
1798,喬石
1799,喬伊
1800,橋侵襲兵
1801,譙
1802,鞽
1803,篋
1804,親美
1805,親民黨
1806,親日
1807,欽本立
1808,禽獸
1809,唚
1810,輕舟快訊
1811,情婦
1812,情獸
1813,檾
1814,慶紅
1815,丘垂貞
1816,詘
1817,去你媽的
1818,闃
1819,全國兩會
1820,全國人大
1821,犬
1822,綣
1823,瘸腿幫
1824,愨
1825,讓你操
1826,熱比婭
1827,熱站政論網
1828,人民報
1829,人民大會堂
1830,人民內情真相
1831,人民真實
1832,人民之聲論壇
1833,人權
1834,日本帝國
1835,日軍
1836,日內瓦金融
1837,日你媽
1838,日你爺爺
1839,日朱駿
1840,顬
1841,乳頭
1842,乳暈
1843,瑞士金融大學
1844,薩達姆
1845,三K黨
1846,三個代表
1847,三級片
1848,三去車侖工力
1849,㈢
1850,毿
1851,糝
1852,騷B
1853,騷棒
1854,騷包
1855,騷逼
1856,騷棍
1857,騷貨
1858,騷鶏
1859,騷卵
1860,殺你全家
1861,殺你一家
1862,殺人犯
1863,傻鳥
1864,煞筆
1865,山口組
1866,善惡有報
1867,上訪
1868,上海幫
1869,上海孤兒院
1870,厙
1871,社會主義
1872,射了還說要
1873,灄
1874,詵
1875,神經病
